"Organization","School"
"Alpha Phi","Northern Illinois University"
"Alpha Phi","Northwestern University"
"Alpha Phi","Oregon State University"
"Alpha Phi","Pepperdine University"
"Alpha Phi","Purdue University"
"Alpha Phi","San Diego State University"
"Alpha Phi","Seton Hall University"
"Alpha Phi","Sonoma State University"
"Alpha Phi","Southern Utah University"
"Alpha Phi","St Mary University"
"Alpha Phi","University of Akron"
"Alpha Phi","University of Alabama"
"Alpha Phi","University of Arizona"
"Alpha Phi","University of California Davis"
"Alpha Phi","University of Central Missouri"
"Alpha Phi","University of Connecticut"
"Alpha Phi","University of Illinois at UC"
"Alpha Phi","University of Iowa"
"Alpha Phi","University of Maine"
"Alpha Phi","University of Mississippi"
"Alpha Phi","University of Missouri"
"Alpha Phi","University of Montana"
"Alpha Phi","University of Nebraska Lincoln"
"Alpha Phi","University of New Hampshire"
"Alpha Phi","University of North Carolina at Chapel Hill"
"Alpha Phi","University of North Carolina Wilmington"
"Alpha Phi","University of North Florida"
"Alpha Phi","University of Oregon"
"Alpha Phi","University of South Dakota"
"Alpha Phi","University of Texas"
"Alpha Phi","University of the Pacific"
"Alpha Phi","University of Utah"
"Alpha Phi","University of Washington"
"Alpha Phi","University of Wisconsin Stout"
"Alpha Phi","Univeversity of Northern Colorado"
"Alpha Phi","Washington State University"
"Alpha Phi","West Chester University of Pennsylvania"
"Alpha Phi","West Virginia University"
"Alpha Phi","Western Michigan University"
"Alpha Phi","Western University"
"Alpha Phi Alpha","Auburn University"
"Alpha Phi Alpha","Mississippi State University"
"Alpha Phi Alpha","Philander Smith College"
"Alpha Phi Alpha","University of Alabama"
"Alpha Phi Delta","Louisiana State University"
"Alpha Phi Delta","Stockton University"
"Alpha Phi Gamma","Colorado State University"
"Alpha Phi Omega","Georgia Southern University"
"Alpha Pi Phi","Brandeis University"
"Alpha Psi","Sonoma State University"
"Alpha Psi Lambda","Eastern Illinois University"
"Alpha Psi Lambda","University of Illinois at UC"
"Alpha Sigma","University of Wisconsin Whitewater"
"Alpha Sigma Alpha","Central Michigan University"
"Alpha Sigma Alpha","Eastern Illinois University"
"Alpha Sigma Alpha","Henderson State University"
"Alpha Sigma Alpha","Indiana University"
"Alpha Sigma Alpha","Indiana University Purdue University Fort Wayne"
"Alpha Sigma Alpha","Indiana University Purdue University Indianapolis"
"Alpha Sigma Alpha","James Madison University"
"Alpha Sigma Alpha","Loras College"
"Alpha Sigma Alpha","Mansfield University of Pennsylvania"
"Alpha Sigma Alpha","Minnesota State University"
"Alpha Sigma Alpha","Missouri Southern State University"
"Alpha Sigma Alpha","Missouri Valley College"
"Alpha Sigma Alpha","Missouri Western State University"
"Alpha Sigma Alpha","Northern Illinois University"
"Alpha Sigma Alpha","Pittsburg State University"
"Alpha Sigma Alpha","Ramapo College"
"Alpha Sigma Alpha","Truman State University"
"Alpha Sigma Alpha","University of Arkansas at Monticello"
"Alpha Sigma Alpha","University of Central Missouri"
"Alpha Sigma Alpha","University of Delaware"
"Alpha Sigma Alpha","University of Missouri Kansas City"
"Alpha Sigma Alpha","University of Southern Indiana"
"Alpha Sigma Alpha","University of Texas San Antonio"
"Alpha Sigma Alpha","University of West Alabama"
"Alpha Sigma Alpha","Western Illinois University"
"Alpha Sigma Kappa","University of Central Florida"
"Alpha Sigma Phi","Auburn University"
"Alpha Sigma Phi","Bloomsburg University of Pennsylvania"
"Alpha Sigma Phi","California State University Fresno"
"Alpha Sigma Phi","Central Michigan University"
"Alpha Sigma Phi","Clemson University"
"Alpha Sigma Phi","Coastal Carolina University"
"Alpha Sigma Phi","Georgia Southern University"
"Alpha Sigma Phi","Grand Valley State"
"Alpha Sigma Phi","Indiana University"
"Alpha Sigma Phi","James Madison University"
"Alpha Sigma Phi","Kansas State University"
"Alpha Sigma Phi","Keene State College"
"Alpha Sigma Phi","Lawrence Technological University"
"Alpha Sigma Phi","Lock Haven University"
"Alpha Sigma Phi","Marshall University"
"Alpha Sigma Phi","Missouri State University"
"Alpha Sigma Phi","Morehead State University"
"Alpha Sigma Phi","Northern Kentucky University"
"Alpha Sigma Phi","Oklahoma State University"
"Alpha Sigma Phi","Quinnipiac University"
"Alpha Sigma Phi","Salem State University"
"Alpha Sigma Phi","Sonoma State University"
"Alpha Sigma Phi","Southern Illinois University"
"Alpha Sigma Phi","Texas A&amp;M University"
"Alpha Sigma Phi","Texas State University"
"Alpha Sigma Phi","University of Akron"
"Alpha Sigma Phi","University of Alabama"
"Alpha Sigma Phi","University of Alabama at Birmingham"
"Alpha Sigma Phi","University of Colorado"
"Alpha Sigma Phi","University of Colorado Colorado Springs"
"Alpha Sigma Phi","University of Connecticut"
"Alpha Sigma Phi","University of Delaware"
"Alpha Sigma Phi","University of Georgia"
"Alpha Sigma Phi","University of Iowa"
"Alpha Sigma Phi","University of Kansas"
"Alpha Sigma Phi","University of Maine"
"Alpha Sigma Phi","University of Nevada Las Vegas"
"Alpha Sigma Phi","University of Nevada Reno"
"Alpha Sigma Phi","University of North Carolina at Charlotte"
"Alpha Sigma Phi","University of North Carolina at Pembroke"
"Alpha Sigma Phi","University of North Dakota"
"Alpha Sigma Phi","University of Oklahoma"
"Alpha Sigma Phi","University of Oregon"
"Alpha Sigma Phi","University of Texas San Antonio"
"Alpha Sigma Phi","University of Wisconsin Milwaukee"
"Alpha Sigma Phi","Washington State University"
"Alpha Sigma Phi","Wayne State University"
"Alpha Sigma Phi","Western Illinois University"
"Alpha Sigma Phi","Western Michigan University"
"Alpha Sigma Rho","University of South Carolina"
"Alpha Sigma Tau","Arkansas Tech University"
"Alpha Sigma Tau","Belmont University"
"Alpha Sigma Tau","Central Michigan University"
"Alpha Sigma Tau","Indiana University of Pennsylvania"
"Alpha Sigma Tau","James Madison University"
"Alpha Sigma Tau","Kutztown University"
"Alpha Sigma Tau","Oglethorpe University"
"Alpha Sigma Tau","Shepherd University"
"Alpha Sigma Tau","Slippery Rock University"
"Alpha Sigma Tau","Southeastern Louisiana University"
"Alpha Sigma Tau","University at Buffalo"
"Alpha Sigma Tau","University of Southern Indiana"
"Alpha Tau Omega","Adrian College"
"Alpha Tau Omega","Arkansas State University"
"Alpha Tau Omega","Arkansas Tech University"
"Alpha Tau Omega","Auburn University"
"Alpha Tau Omega","Ball State University"
"Alpha Tau Omega","Boise State University"
"Alpha Tau Omega","Bowling Green State University"
"Alpha Tau Omega","College of Charleston"
"Alpha Tau Omega","Colorado State University"
"Alpha Tau Omega","DePauw University"
"Alpha Tau Omega","Florida Atlantic University"
"Alpha Tau Omega","Georgia College and State University"
"Alpha Tau Omega","Georgia Southern University"
"Alpha Tau Omega","Georgia State University"
"Alpha Tau Omega","Kansas State University"
"Alpha Tau Omega","Kennesaw State University"
"Alpha Tau Omega","Louisiana State University"
"Alpha Tau Omega","Middle Tennessee State University"
"Alpha Tau Omega","Mississippi State University"
"Alpha Tau Omega","Northern Kentucky University"
"Alpha Tau Omega","Oklahoma State University"
"Alpha Tau Omega","Oregon State University"
"Alpha Tau Omega","Sam Houston State University"
"Alpha Tau Omega","Samford University"
"Alpha Tau Omega","Stephen F Austin University"
"Alpha Tau Omega","Texas A&amp;M University"
"Alpha Tau Omega","Texas State University"
"Alpha Tau Omega","Texas Tech University"
"Alpha Tau Omega","The Ohio State University"
"Alpha Tau Omega","Troy University"
"Alpha Tau Omega","University of Alabama Huntsville"
"Alpha Tau Omega","University of Central Oklahoma"
"Alpha Tau Omega","University of Colorado"
"Alpha Tau Omega","University of Kansas"
"Alpha Tau Omega","University of Louisville"
"Alpha Tau Omega","University of Maine"
"Alpha Tau Omega","University of Missouri"
"Alpha Tau Omega","University of North Alabama"
"Alpha Tau Omega","University of North Carolina at Charlotte"
"Alpha Tau Omega","University of North Florida"
"Alpha Tau Omega","University of North Texas"
"Alpha Tau Omega","University of Pittsburgh"
"Alpha Tau Omega","University of Southern Mississippi"
"Alpha Tau Omega","University of Tennessee"
"Alpha Tau Omega","University of Texas San Antonio"
"Alpha Tau Omega","University of West Florida"
"Alpha Tau Omega","West Texas A&amp;M University"
"Alpha Tau Omega","Western Kentucky University"
"Alpha Xi Delta","Auburn University"
"Alpha Xi Delta","Eastern Washington University"
"Alpha Xi Delta","Florida Atlantic University"
"Alpha Xi Delta","Kent State University"
"Alpha Xi Delta","Monmouth University"
"Alpha Xi Delta","Ohio University"
"Alpha Xi Delta","Oklahoma State University"
"Alpha Xi Delta","Shorter University"
"Alpha Xi Delta","Slippery Rock University"
"Alpha Xi Delta","Southeast Missouri State University"
"Alpha Xi Delta","Texas State University"
"Alpha Xi Delta","Texas Tech University"
"Alpha Xi Delta","The Ohio State University"
"Alpha Xi Delta","University of Central Oklahoma"
"Alpha Xi Delta","University of Illinois at UC"
"Alpha Xi Delta","University of Iowa"
"Alpha Xi Delta","University of Mount Union"
"Alpha Xi Delta","University of Nebraska Omaha"
"Alpha Xi Delta","University of Toledo"
"Alpha Xi Delta","University of West Georgia"
"Alpha Xi Delta","Western Kentucky University"
"Alpha Xi Delta","Wingate University"
"Army ROTC","Ball State University"
"Army ROTC","University of Mississippi"
"AROTC","The Ohio State University"
"AU NPHC","Auburn University"
"AU Soccer","Anderson University"
"Beta Gamma Nu","California State University Northridge"
"Beta Gamma Nu","Colorado State University"
"Beta Gamma Nu","San Diego State University"
"Beta Psi Omega","University of Illinois at UC"
"Beta Sigma Psi","Indiana University"
"Beta Sigma Psi","Kansas State University"
"Beta Sigma Psi","Purdue University"
"Beta Sigma Psi","University of Missouri"
"Beta Sigma Psi","University of Nebraska Lincoln"
"Beta Theta Pi","Appalachian State University"
