"Organization","School"
"Kappa Sigma","Stockton University"
"Kappa Sigma","Tarleton State University"
"Kappa Sigma","Temple University"
"Kappa Sigma","Tennessee Tech University"
"Kappa Sigma","Texas A&amp;M University Commerce"
"Kappa Sigma","Texas State University"
"Kappa Sigma","Texas Tech University"
"Kappa Sigma","The University of Tulsa"
"Kappa Sigma","University of Alabama"
"Kappa Sigma","University of Arizona"
"Kappa Sigma","University of Arkansas Fort Smith"
"Kappa Sigma","University of Arkansas Little Rock"
"Kappa Sigma","University of California Riverside"
"Kappa Sigma","University of Central Arkansas"
"Kappa Sigma","University of Central Oklahoma"
"Kappa Sigma","University of Idaho"
"Kappa Sigma","University of Iowa"
"Kappa Sigma","University of Kentucky"
"Kappa Sigma","University of Louisville"
"Kappa Sigma","University of Memphis"
"Kappa Sigma","University of Nebraska Lincoln"
"Kappa Sigma","University of Nevada Reno"
"Kappa Sigma","University of New Orleans"
"Kappa Sigma","University of North Carolina at Charlotte"
"Kappa Sigma","University of North Georgia"
"Kappa Sigma","University of Oklahoma"
"Kappa Sigma","University of Southern Mississippi"
"Kappa Sigma","University of Tennessee at Chattanooga"
"Kappa Sigma","University of Texas San Antonio"
"Kappa Sigma","University of West Florida"
"Kappa Sigma","University of West Georgia"
"Kappa Sigma","Wake Forest University"
"Kappa Sigma","Western Carolina University"
"Kappa Sigma","Western Kentucky University"
"Kappa Sigma Alpha","Olivet College"
"Knights Womens Basketball","San Diego City College"
"KSC Athletics","Keene State College"
"KY Polo","University of Kentucky"
"Lambda Alpha Upsilon","Rochester Institute of Technology"
"Lambda Chi Alpha","Arkansas State University"
"Lambda Chi Alpha","Auburn University"
"Lambda Chi Alpha","Bowling Green State University"
"Lambda Chi Alpha","California State University Chico"
"Lambda Chi Alpha","California State University Fresno"
"Lambda Chi Alpha","Clemson University"
"Lambda Chi Alpha","Coastal Carolina University"
"Lambda Chi Alpha","Colorado State University"
"Lambda Chi Alpha","Indiana University"
"Lambda Chi Alpha","Iowa State University"
"Lambda Chi Alpha","Johnson &amp; Wales University"
"Lambda Chi Alpha","MIssissippi State University"
"Lambda Chi Alpha","Northeastern State University"
"Lambda Chi Alpha","Oklahoma State University"
"Lambda Chi Alpha","Oregon State University"
"Lambda Chi Alpha","Samford University"
"Lambda Chi Alpha","Southeast Missouri State University"
"Lambda Chi Alpha","Tarleton State University"
"Lambda Chi Alpha","Texas A&amp;M University"
"Lambda Chi Alpha","Texas Christian University"
"Lambda Chi Alpha","Texas Tech University"
"Lambda Chi Alpha","Troy University"
"Lambda Chi Alpha","University of Akron"
"Lambda Chi Alpha","University of Alabama"
"Lambda Chi Alpha","University of Central Missouri"
"Lambda Chi Alpha","University of Iowa"
"Lambda Chi Alpha","University of Kansas"
"Lambda Chi Alpha","University of Missouri"
"Lambda Chi Alpha","University of North Carolina Greensboro"
"Lambda Chi Alpha","University of North Dakota"
"Lambda Chi Alpha","University of Northern Colorado"
"Lambda Chi Alpha","University of Tennessee"
"Lambda Chi Alpha","University of Tennessee at Chattanooga"
"Lambda Chi Alpha","University of Texas"
"Lambda Chi Alpha","University of Texas San Antonio"
"Lambda Chi Alpha","Washington State University"
"Lambda Chi Alpha","West Virginia University"
"Lambda Phi Epsilon","University of Oklahoma"
"Lambda Phi Xi","University of Nevada Reno"
"Lambda Sigma Gamma","California State University Stanislaus"
"Lambda Theta Alpha","Iowa State University"
"Lambda Theta Alpha","Montclair State University"
"Lambda Theta Alpha","North Carolina State University"
"Lambda Theta Alpha","Sam Houston State University"
"Lambda Theta Alpha","Texas Tech University"
"Lambda Theta Alpha","University of Illinois at UC"
"Lambda Theta Nu","University of California San Diego"
"Latinic Societas Unitas","UC Riverside"
"Learning Excellence","High Point University"
"Mens Soccer","Keystone College"
"Mens Volleyball","Bethany College"
"MSU Hillel","Michigan State University"
"MU Soccer","Multnomah University"
"Multicultural Greek Council","Texas Tech University"
"NABA","University of Mississippi"
"Newberry College Cheerleading","Newberry College"
"North Texas Cheer","University of North Texas"
"NPHC","Bowling Green State University"
"NPHC","California State University Long Beach"
"NROTC","Morehouse College"
"Nu Alpha Kappa","California State University Chico"
"Nu Alpha Kappa","California State University Fresno"
"Nu Alpha Kappa","Colorado State University"
"Omega Delta","Northern Illinois University"
"Omega Delta","Southern Illinois University"
"Omega Delta","University of Illinois at Chicago"
"Omega Delta Phi","Oklahoma State University"
"Omega Delta Phi","Texas State University"
"Omega Delta Phi","University of Arizona"
"Omega Delta Phi","University of the Incarnate Word"
"Omega Delta Phi","Washington State University"
"Omega Delta Phi","Western Michigan University"
"Omega Eta Lambda","University of Arizona"
"Omega Nu Omega","California State University Stanislaus"
"Omega Psi Phi","Austin Peay State University"
"Pershing Rifles Company C4","Clemson University"
"Personal","Texas State University"
"Phi Beta Chi","University of Iowa"
"Phi Beta Sigma","Mississippi State University"
"Phi Beta Sigma","University of West Florida"
"Phi Chi","University of South Florida Saint Petersburg"
"Phi Chi Theta","Central Michigan University"
"Phi Chi Theta","Drake University"
"Phi Delta Chi","Kansas State University"
"Phi Delta Epsilon","University of California Merced"
"Phi Delta Epsilon","University of California Riverside"
"Phi Delta Theta","Appalachian State University"
"Phi Delta Theta","Arizona State University"
"Phi Delta Theta","Ashland University"
"Phi Delta Theta","Auburn University"
"Phi Delta Theta","Boise State University"
"Phi Delta Theta","Bowling Green State University"
"Phi Delta Theta","California State University Chico"
"Phi Delta Theta","California State University Fresno"
"Phi Delta Theta","Campbell University"
"Phi Delta Theta","Central Michigan University"
"Phi Delta Theta","Clarion University"
"Phi Delta Theta","Colorado State University"
"Phi Delta Theta","Eastern Washington University"
"Phi Delta Theta","Embry-Riddle Aeronautical University"
"Phi Delta Theta","Florida Atlantic University"
"Phi Delta Theta","Florida Gulf Coast University"
"Phi Delta Theta","Florida International University"
"Phi Delta Theta","Florida State University"
"Phi Delta Theta","Georgia Southern University"
"Phi Delta Theta","Hanover College"
"Phi Delta Theta","Indiana University"
"Phi Delta Theta","Indiana University of Pennsylvania"
"Phi Delta Theta","Iowa State University"
"Phi Delta Theta","Jacksonville University"
"Phi Delta Theta","Kent State University"
"Phi Delta Theta","Louisiana Tech University"
"Phi Delta Theta","Loyola Marymount University"
"Phi Delta Theta","Middle Tennessee State University"
"Phi Delta Theta","Mississippi State University"
"Phi Delta Theta","Missouri State University"
"Phi Delta Theta","Monmouth College"
"Phi Delta Theta","Ohio University"
"Phi Delta Theta","Oklahoma State University"
"Phi Delta Theta","Purdue University"
"Phi Delta Theta","Rochester Institute of Technology"
"Phi Delta Theta","Saint Louis University"
"Phi Delta Theta","San Diego State University"
"Phi Delta Theta","Seton Hall University"
"Phi Delta Theta","Shippensburg University"
"Phi Delta Theta","Sonoma State University"
"Phi Delta Theta","Southeast Missouri State University"
"Phi Delta Theta","Stephen F Austin University"
"Phi Delta Theta","Tennessee Tech University"
"Phi Delta Theta","Texas A&amp;M University"
"Phi Delta Theta","Texas A&amp;M University Corpus Christi"
"Phi Delta Theta","Texas State University"
"Phi Delta Theta","University of Alabama"
"Phi Delta Theta","University of Arizona"
"Phi Delta Theta","University of Arkansas"
"Phi Delta Theta","University of Cincinnati"
"Phi Delta Theta","University of Colorado"
"Phi Delta Theta","University of Connecticut"
"Phi Delta Theta","University of Idaho"
"Phi Delta Theta","University of Kentucky"
"Phi Delta Theta","University of Minnesota"
"Phi Delta Theta","University of Missouri"
"Phi Delta Theta","University of Nebraska at Kearney"
"Phi Delta Theta","University of Nebraska Lincoln"
"Phi Delta Theta","University of Nevada Reno"
"Phi Delta Theta","University of North Carolina at Charlotte"
"Phi Delta Theta","University of Oklahoma"
"Phi Delta Theta","University of South Carolina"
"Phi Delta Theta","University of Southern Indiana"
"Phi Delta Theta","University of Texas"
"Phi Delta Theta","University of Texas San Antonio"
"Phi Delta Theta","University of West Georgia"
"Phi Delta Theta","University of Wisconsin Whitewater"
"Phi Delta Theta","Virginia Tech"
"Phi Delta Theta","Wabash College"
"Phi Delta Theta","West Texas A&amp;M University"
"Phi Delta Theta","West Virginia University"
"Phi Eta Kappa","University of Maine"
"Phi Gamma Delta","Appalachian State University"
"Phi Gamma Delta","Ball State University"
"Phi Gamma Delta","Boise State University"
"Phi Gamma Delta","Coastal Carolina University"
"Phi Gamma Delta","Colorado State University"
"Phi Gamma Delta","East Carolina University"
"Phi Gamma Delta","Florida State University"
"Phi Gamma Delta","Illinois State University"
"Phi Gamma Delta","Indiana University"
"Phi Gamma Delta","Kansas State University"
"Phi Gamma Delta","Louisiana State University"
"Phi Gamma Delta","Mississippi State University"
"Phi Gamma Delta","Missouri State University"
"Phi Gamma Delta","Ohio University"
"Phi Gamma Delta","Oklahoma State University"
"Phi Gamma Delta","Purdue University"
"Phi Gamma Delta","Quinnipiac University"
"Phi Gamma Delta","Rose-Hulman Institute of Technology"
"Phi Gamma Delta","Sam Houston State University"
"Phi Gamma Delta","Tennessee Tech University"
"Phi Gamma Delta","Texas Christian University"
"Phi Gamma Delta","Texas State University"
"Phi Gamma Delta","University of Alabama"
"Phi Gamma Delta","University of Arizona"
"Phi Gamma Delta","University of Arkansas"
"Phi Gamma Delta","University of California Davis"
"Phi Gamma Delta","University of Central Florida"
"Phi Gamma Delta","University of Colorado"
"Phi Gamma Delta","University of Connecticut"
"Phi Gamma Delta","University of Florida"
"Phi Gamma Delta","University of Iowa"
"Phi Gamma Delta","University of Kansas"
"Phi Gamma Delta","University of Kentucky"
"Phi Gamma Delta","University of Maine"
"Phi Gamma Delta","University of Minnesota"
"Phi Gamma Delta","University of Nebraska Lincoln"
"Phi Gamma Delta","University of New Mexico"
"Phi Gamma Delta","University of North Carolina Wilmington"
"Phi Gamma Delta","University of Oregon"
"Phi Gamma Delta","University of Rhode Island"
"Phi Gamma Delta","University of South Carolina"
"Phi Gamma Delta","University of South Florida"
"Phi Gamma Delta","University of Tennessee"
"Phi Gamma Delta","University of Tennessee at Chattanooga"
"Phi Gamma Delta","University of Texas"
"Phi Gamma Delta","University of Texas San Antonio"
"Phi Gamma Delta","Virginia Commonwealth University"
"Phi Gamma Delta","Washington State University"
"Phi Gamma Delta","West Virginia University"
"Phi Gamma Delta","Western Michigan University"
"Phi Iota Alpha","Texas A&amp;M University"
"Phi Iota Alpha","Texas State University"
"Phi Kappa Psi","Arizona State University"
"Phi Kappa Psi","Ball State University"
"Phi Kappa Psi","Bowling Green State University"
"Phi Kappa Psi","California State University Long Beach"
"Phi Kappa Psi","Clemson University"
"Phi Kappa Psi","Houston Baptist University"
"Phi Kappa Psi","Illinois State University"
"Phi Kappa Psi","Indiana University"
"Phi Kappa Psi","Indiana University of Pennsylvania"
"Phi Kappa Psi","James Madison University"
"Phi Kappa Psi","Louisiana State University"
"Phi Kappa Psi","Loyola University New Orleans"
"Phi Kappa Psi","Michigan State University"
"Phi Kappa Psi","Northern Illinois university"
"Phi Kappa Psi","Oregon State University"
"Phi Kappa Psi","Purdue University"
"Phi Kappa Psi","San Diego State University"
"Phi Kappa Psi","Southern Illinois University Edwardsville"
"Phi Kappa Psi","Stephen F Austin University"
"Phi Kappa Psi","Texas A&amp;M University"
"Phi Kappa Psi","Texas State University"
"Phi Kappa Psi","Texas Tech University"
"Phi Kappa Psi","University of Alabama"
"Phi Kappa Psi","University of Alabama Huntsville"
"Phi Kappa Psi","University of California Los Angeles"
"Phi Kappa Psi","University of California Riverside"
"Phi Kappa Psi","University of Illinois at Chicago"
"Phi Kappa Psi","University of Illinois at UC"
"Phi Kappa Psi","University of Mississippi"
"Phi Kappa Psi","University of Missouri"
"Phi Kappa Psi","University of Nebraska Lincoln"
"Phi Kappa Psi","University of Oklahoma"
"Phi Kappa Psi","University of Tennessee"
"Phi Kappa Psi","University of Toledo"
"Phi Kappa Psi","Wittenberg University"
"Phi Kappa Sigma","Indiana University"
"Phi Kappa Sigma","Oklahoma State University"
"Phi Kappa Sigma","Purdue University"
"Phi Kappa Sigma","Tarleton State University"
"Phi Kappa Sigma","Texas Christian University"
"Phi Kappa Sigma","Texas State University"
"Phi Kappa Sigma","Texas Tech University"
"Phi Kappa Sigma","University of Alabama"
"Phi Kappa Sigma","University of Hartford"
"Phi Kappa Sigma","University of Maryland Baltimore County"
"Phi Kappa Sigma","University of New Orleans"
"Phi Kappa Sigma","University of North Texas"
"Phi Kappa Sigma","University of Oklahoma"
"Phi Kappa Sigma","University of South Alabama"
"Phi Kappa Sigma","Vanderbilt University"
"Phi Kappa Tau","Appalachian State University"
"Phi Kappa Tau","Arizona State University"
"Phi Kappa Tau","Auburn University"
"Phi Kappa Tau","Belmont University"
"Phi Kappa Tau","Bethany College"
"Phi Kappa Tau","California State University Chico"
"Phi Kappa Tau","California State University Fullerton"
"Phi Kappa Tau","California State University Sacramento"
"Phi Kappa Tau","Central Michigan University"
"Phi Kappa Tau","Clemson University"
"Phi Kappa Tau","Colorado State University"
"Phi Kappa Tau","East Central University"
"Phi Kappa Tau","Indiana University"
"Phi Kappa Tau","Indiana University of Pennsylvania"
"Phi Kappa Tau","Iowa State University"
"Phi Kappa Tau","Kent State University"
"Phi Kappa Tau","Middle Tennessee State University"
"Phi Kappa Tau","Mississippi State University"
"Phi Kappa Tau","Murray State University"
"Phi Kappa Tau","Nebraska Wesleyan University"
"Phi Kappa Tau","Ohio University"
"Phi Kappa Tau","Oklahoma State University"
"Phi Kappa Tau","Penn State University"
"Phi Kappa Tau","Southern Illinois University"
"Phi Kappa Tau","Texas State University"
"Phi Kappa Tau","The Ohio State University"
"Phi Kappa Tau","Truman State University"
"Phi Kappa Tau","University of Alabama"
"Phi Kappa Tau","University of Cincinnati"
"Phi Kappa Tau","University of Colorado"
"Phi Kappa Tau","University of Idaho"
"Phi Kappa Tau","University of Illinois at UC"
"Phi Kappa Tau","University of Kansas"
"Phi Kappa Tau","University of Kentucky"
"Phi Kappa Tau","University of Louisville"
"Phi Kappa Tau","University of Mississippi"
"Phi Kappa Tau","University of North Texas"
"Phi Kappa Tau","University of Southern Mississippi"
"Phi Kappa Tau","University of Tennessee"
"Phi Kappa Tau","University of Washington"
"Phi Kappa Tau","Washington State University"
"Phi Kappa Tau","West Virginia University"
"Phi Kappa Tau","Westminster College"
"Phi Kappa Tau","Wright State University"
"Phi Kappa Theta","Lehigh University"
"Phi Kappa Theta","Louisiana State University"
"Phi Kappa Theta","Northern Illinois University"
"Phi Lambda Chi","Southern Arkansas University"
"Phi Mu","Arkansas Tech University"
"Phi Mu","California State University Sacramento"
"Phi Mu","Central Michigan University"
"Phi Mu","East Carolina University"
"Phi Mu","Elon University"
"Phi Mu","Florida Atlantic University"
"Phi Mu","Florida State University"
"Phi Mu","Georgia Southern University"
"Phi Mu","Georgia State University"
"Phi Mu","Grand Valley State"
"Phi Mu","Houston Baptist University"
"Phi Mu","Jacksonville State University"
"Phi Mu","Louisiana State University"
"Phi Mu","Louisiana State University Shreveport"
"Phi Mu","Miami University"
"Phi Mu","Millsaps College"
"Phi Mu","Mississippi State University"
"Phi Mu","Nicholls State University"
"Phi Mu","Northwestern State University of Louisiana"
"Phi Mu","Oklahoma State University"
"Phi Mu","Penn State University"
"Phi Mu","Rutgers University"
"Phi Mu","Samford University"
"Phi Mu","Southeastern Louisiana University"
"Phi Mu","Southern Arkansas University"
"Phi Mu","Tarleton State University"
"Phi Mu","Tennessee Tech University"
"Phi Mu","Troy University"
"Phi Mu","University of Alabama"
"Phi Mu","University of Hartford"
"Phi Mu","University of Kentucky"
"Phi Mu","University of Louisiana Monroe"
"Phi Mu","University of Memphis"
"Phi Mu","University of Michigan Dearborn"
"Phi Mu","University of Mississippi"
"Phi Mu","University of Missouri"
"Phi Mu","University of Nebraska Lincoln"
"Phi Mu","University of North Carolina at Chapel Hill"
"Phi Mu","University of North Carolina Wilmington"
"Phi Mu","University of South Alabama"
"Phi Mu","University of Texas San Antonio"
"Phi Mu","University of Washington"
"Phi Mu","University of West Georgia"
"Phi Mu","Western Kentucky University"
"Phi Mu Alpha Sinfonia","University of Missouri"
"Phi Omega Alpha","York University"
"Phi Sigma Kappa","Appalachian State University"
"Phi Sigma Kappa","Auburn University"
"Phi Sigma Kappa","Ball State University"
"Phi Sigma Kappa","California Polytechnic State"
"Phi Sigma Kappa","California State University Fullerton"
"Phi Sigma Kappa","Emporia State University"
"Phi Sigma Kappa","Georgia Southern University"
"Phi Sigma Kappa","Indiana University"
"Phi Sigma Kappa","Northern Illinois University"
"Phi Sigma Kappa","Northwest Missouri State University"
"Phi Sigma Kappa","Pittsburg State University"
"Phi Sigma Kappa","Purdue University"
"Phi Sigma Kappa","Rochester Institute of Technology"
"Phi Sigma Kappa","Shippensburg University"
"Phi Sigma Kappa","Southern Illinois University"
"Phi Sigma Kappa","Towson University"
"Phi Sigma Kappa","University of Akron"
"Phi Sigma Kappa","University of Alabama"
"Phi Sigma Kappa","University of Central Arkansas"
"Phi Sigma Kappa","University of Central Missouri"
"Phi Sigma Kappa","University of Cincinnati"
"Phi Sigma Kappa","University of Florida"
"Phi Sigma Kappa","University of Illinois at UC"
"Phi Sigma Kappa","University of Kentucky"
"Phi Sigma Kappa","University of North Carolina at Charlotte"
"Phi Sigma Kappa","University of Tennessee"
"Phi Sigma Kappa","University of Wisconsin Milwaukee"
"Phi Sigma Kappa","Valdosta State University"
"Phi Sigma Kappa","Washington State University"
"Phi Sigma Kappa","Western Michigan University"
"Phi Sigma Phi","Central Michigan University"
"Phi Sigma Phi","Eastern Michigan University"
"Phi SIgma Pi","Central Michigan University"
"Phi SIgma Pi","Sam Houston State University"
"Phi Sigma Rho","Arizona State University"
"Phi Sigma Rho","The Ohio State University"
"Phi Sigma Rho","University of California Los Angeles"
"Phi Sigma Rho","University of Cincinnati"
"Phi Sigma Rho","University of Connecticut"
"Phi Sigma Sigma","California State University Sacramento"
"Phi Sigma Sigma","Central Michigan University"
"Phi Sigma Sigma","Coastal Carolina University"
"Phi Sigma Sigma","Grand Valley State"
"Phi Sigma Sigma","Miami University"
"Phi Sigma Sigma","Monmouth University"
"Phi Sigma Sigma","Penn State University"
"Phi Sigma Sigma","Temple University"
"Phi Sigma Sigma","University of Delaware"
"Phi Sigma Sigma","University of Illinois at Chicago"
"Phi Sigma Sigma","University of Illinois at UC"
"Phi Sigma Sigma","University of Rhode Island"
"Phi Sigma Sigma","University of Wisconsin Milwaukee"
"Phi Sigma Sigma","Western Illinois University"
"Pi Alpha Chi","University of Nebraska Lincoln"
"Pi Alpha Phi","University of California San Diego"
"Pi Beta Phi","Auburn University"
"Pi Beta Phi","Bowling Green State University"
"Pi Beta Phi","Clemson University"
"Pi Beta Phi","Colorado State University"
"Pi Beta Phi","Dickinson College"
"Pi Beta Phi","Florida State University"
"Pi Beta Phi","George Mason University"
"Pi Beta Phi","Indiana University"
"Pi Beta Phi","Lehigh University"
"Pi Beta Phi","Louisiana State University"
"Pi Beta Phi","Miami University"
"Pi Beta Phi","Michigan State University"
"Pi Beta Phi","Millikin University"
"Pi Beta Phi","Mississippi State University"
"Pi Beta Phi","Montana State University"
"Pi Beta Phi","Ohio University"
"Pi Beta Phi","Oklahoma State University"
"Pi Beta Phi","Purdue University"
"Pi Beta Phi","Southern Methodist University"
"Pi Beta Phi","Texas A&amp;M University"
"Pi Beta Phi","Texas Christian University"
"Pi Beta Phi","Texas Tech University"
"Pi Beta Phi","University of Alabama"
"Pi Beta Phi","University of Arizona"
"Pi Beta Phi","University of Arkansas"
"Pi Beta Phi","University of California Davis"
"Pi Beta Phi","University of California Riverside"
"Pi Beta Phi","University of California San Diego"
"Pi Beta Phi","University of Colorado"
"Pi Beta Phi","University of Colorado Colorado Springs"
"Pi Beta Phi","University of Connecticut"
"Pi Beta Phi","University of Delaware"
"Pi Beta Phi","University of Guelph"
"Pi Beta Phi","University of Idaho"
"Pi Beta Phi","University of Iowa"
"Pi Beta Phi","University of Kansas"
"Pi Beta Phi","University of Kentucky"
"Pi Beta Phi","University of Maine"
"Pi Beta Phi","University of Memphis"
"Pi Beta Phi","University of Mississippi"
"Pi Beta Phi","University of Missouri"
"Pi Beta Phi","University of Nebraska Lincoln"
"Pi Beta Phi","University of Nevada Reno"
"Pi Beta Phi","University of New Mexico"
"Pi Beta Phi","University of North Texas"
"Pi Beta Phi","University of Oklahoma"
"Pi Beta Phi","University of South Carolina"
"Pi Beta Phi","University of South Dakota"
"Pi Beta Phi","University of Southern Mississippi"
"Pi Beta Phi","University of Tennessee"
"Pi Beta Phi","University of Texas"
"Pi Beta Phi","University of Toronto"
"Pi Beta Phi","University of Utah"
"Pi Beta Phi","University of Wisconsin Madison"
"Pi Beta Phi","Valparaiso University"
"Pi Beta Phi","Vanderbilt University"
"Pi Beta Phi","Virginia Tech"
"Pi Beta Phi","Washington State University"
"Pi Beta Phi","West Virginia University"
"Pi Kappa Alpha","Arizona State University"
"Pi Kappa Alpha","Arkansas State University"
"Pi Kappa Alpha","Arkansas Tech"
"Pi Kappa Alpha","Arkansas Tech University"
"Pi Kappa Alpha","Armstrong State University"
"Pi Kappa Alpha","Auburn University"
"Pi Kappa Alpha","Austin Peay State University"
"Pi Kappa Alpha","Boise State University"
"Pi Kappa Alpha","California State University Chico"
"Pi Kappa Alpha","California State University Fresno"
"Pi Kappa Alpha","California State University Long Beach"
"Pi Kappa Alpha","Clemson University"
"Pi Kappa Alpha","Coastal Carolina University"
"Pi Kappa Alpha","East Carolina University"
"Pi Kappa Alpha","Eastern Illinois University"
"Pi Kappa Alpha","Eastern Kentucky University"
"Pi Kappa Alpha","Embry-Riddle Aeronautical University"
"Pi Kappa Alpha","Florida Atlantic University"
"Pi Kappa Alpha","Florida Gulf Coast University"
"Pi Kappa Alpha","Florida International University"
"Pi Kappa Alpha","Georgia Southern University"
"Pi Kappa Alpha","High Point University"
"Pi Kappa Alpha","Indiana State University"
"Pi Kappa Alpha","Indiana University"
"Pi Kappa Alpha","Iowa State University"
"Pi Kappa Alpha","James Madison University"
"Pi Kappa Alpha","Kansas State University"
"Pi Kappa Alpha","Louisiana State University"
"Pi Kappa Alpha","Louisiana Tech University"
"Pi Kappa Alpha","Mississippi State University"
"Pi Kappa Alpha","Missouri State University"
"Pi Kappa Alpha","Missouri University of Science and Technology"
"Pi Kappa Alpha","North Carolina State University"
"Pi Kappa Alpha","North Dakota State University"
"Pi Kappa Alpha","Northeastern State University"
"Pi Kappa Alpha","Northern Arizona University"
"Pi Kappa Alpha","Northwest Missouri State University"
"Pi Kappa Alpha","Ohio University"
"Pi Kappa Alpha","Oklahoma State University"
"Pi Kappa Alpha","Old Dominion University"
"Pi Kappa Alpha","Oregon State University"
"Pi Kappa Alpha","Pittsburg State University"
"Pi Kappa Alpha","Purdue University"
"Pi Kappa Alpha","Rowan University"
"Pi Kappa Alpha","Sam Houston State University"
"Pi Kappa Alpha","San Diego State University"
"Pi Kappa Alpha","South Dakota State University"
"Pi Kappa Alpha","Southeast Missouri State University"
"Pi Kappa Alpha","Stephen F Austin University"
"Pi Kappa Alpha","Stetson University"
"Pi Kappa Alpha","Tennessee Tech University"
"Pi Kappa Alpha","Texas A&amp;M University"
"Pi Kappa Alpha","Texas State University"
"Pi Kappa Alpha","Texas Tech University"
"Pi Kappa Alpha","University of Alabama Huntsville"
"Pi Kappa Alpha","University of Arkansas"
"Pi Kappa Alpha","University of Colorado"
"Pi Kappa Alpha","University of Delaware"
"Pi Kappa Alpha","University of Idaho"
"Pi Kappa Alpha","University of Iowa"
"Pi Kappa Alpha","University of Kansas"
"Pi Kappa Alpha","University of Kentucky"
"Pi Kappa Alpha","University of Louisville"
"Pi Kappa Alpha","University of Memphis"
"Pi Kappa Alpha","University of Missouri"
"Pi Kappa Alpha","University of Nebraska Lincoln"
"Pi Kappa Alpha","University of New Hampshire"
"Pi Kappa Alpha","University of North Carolina at Charlotte"
"Pi Kappa Alpha","University of North Carolina Greensboro"
"Pi Kappa Alpha","University of North Carolina Wilmington"
"Pi Kappa Alpha","University of Northern Colorado"
"Pi Kappa Alpha","University of Oklahoma"
"Pi Kappa Alpha","University of Oregon"
"Pi Kappa Alpha","University of South Alabama"
"Pi Kappa Alpha","University of Southern Mississippi"
"Pi Kappa Alpha","University of Tennessee"
"Pi Kappa Alpha","University of Tennessee at Chattanooga"
"Pi Kappa Alpha","University of Tennessee Martin"
"Pi Kappa Alpha","University of Texas"
"Pi Kappa Alpha","University of Utah"
"Pi Kappa Alpha","University of West Florida"
"Pi Kappa Alpha","Washington State University"
"Pi Kappa Alpha","Western Kentucky University"
"Pi Kappa Phi","Auburn University"
"Pi Kappa Phi","Augusta University"
"Pi Kappa Phi","Ball State University"
"Pi Kappa Phi","Central Michigan University"
"Pi Kappa Phi","Coastal Carolina University"
"Pi Kappa Phi","College of Charleston"
"Pi Kappa Phi","Florida Atlantic University"
"Pi Kappa Phi","Florida Gulf Coast University"
"Pi Kappa Phi","George Mason University"
"Pi Kappa Phi","Georgia Southern University"
"Pi Kappa Phi","Grand Valley State"
"Pi Kappa Phi","Indiana University"
"Pi Kappa Phi","Kansas State University"
"Pi Kappa Phi","Kennesaw State University"
"Pi Kappa Phi","Louisiana Tech University"
"Pi Kappa Phi","Loyola University New Orleans"
"Pi Kappa Phi","Michigan State University"
"Pi Kappa Phi","Mississippi State University"
"Pi Kappa Phi","Missouri State University"
"Pi Kappa Phi","Old Dominion University"
"Pi Kappa Phi","Oregon State University"
"Pi Kappa Phi","Samford University"
"Pi Kappa Phi","Slippery Rock University"
"Pi Kappa Phi","Sonoma State University"
"Pi Kappa Phi","Stephen F Austin University"
"Pi Kappa Phi","Temple University"
"Pi Kappa Phi","Tennessee Tech University"
"Pi Kappa Phi","Texas A&amp;M University"
"Pi Kappa Phi","Texas State University"
"Pi Kappa Phi","Texas Tech University"
"Pi Kappa Phi","The Ohio State University"
"Pi Kappa Phi","Troy University"
"Pi Kappa Phi","University of Alabama"
"Pi Kappa Phi","University of Arkansas Fort Smith"
"Pi Kappa Phi","University of Colorado Colorado Springs"
"Pi Kappa Phi","University of Iowa"
"Pi Kappa Phi","University of Kansas"
"Pi Kappa Phi","University of Maine"
"Pi Kappa Phi","University of Massachusetts Amherst"
"Pi Kappa Phi","University of Mississippi"
"Pi Kappa Phi","University of Missouri"
"Pi Kappa Phi","University of Nevada Reno"
"Pi Kappa Phi","University of North Carolina at Charlotte"
"Pi Kappa Phi","University of North Carolina Greensboro"
"Pi Kappa Phi","University of North Texas"
"Pi Kappa Phi","University of Northern Colorado"
"Pi Kappa Phi","University of Oregon"
"Pi Kappa Phi","University of South Alabama"
"Pi Kappa Phi","University of Tennessee"
"Pi Kappa Phi","University of Texas San Antonio"
"Pi Kappa Phi","University of Toledo"
"Pi Kappa Phi","Washington State University"
"Pi Kappa Phi","Western Illinois University"
"Pi Kappa Phi","Wingate University"
"Pi Kappa Phi","Winthrop University"
"Pi Lambda Chi Latina","Boise State University"
"Pi Lambda Chi Latina","Colorado State University"
"Pi Lambda Chi Latina","Metropolitan State University of Denver"
"Pi Lambda Phi","Bloomberg University of Pennsylvania"
"Pi Lambda Phi","Indiana University"
"Pi Lambda Phi","Indiana University of Pennsylvania"
"Pi Lambda Phi","University of Iowa"
"Promising Scholars","Indiana University of Pennsylvania"
"Psi Upsilon","Clemson University"
"Psi Upsilon","University of Washington"
"PSYC","University of Sydney"
"RC Success","Roanoke College"
"Rho Psi Eta","University of Pittsburgh"
"Robert Industries, Inc.","River Dell High School"
"ROTC","Sam Houston State University"
"ROTC","University of Alabama"
"Rugby","Southern Illinois University"
"Rugby","University of Georgia"
"Ryan Robnett Org","University of Alabama at Birmingham"
"Saddle Tramps","Texas Tech University"
"Savannah State University","Savannah State University"
"SCSU Cheer Team","Saint Cloud State University"
"Self Study","Texas Tech University"
"Sigma Alpha","California State University Chico"
"Sigma Alpha","Kansas State University"
